;product;origen;YEAR;MONTH;price_mean;Volumen;temperatura;Precipitacion_group;Min siem-recol;Max siem-recol;Temperatura min req;Temperatura max req;Temperatura min opt;Temperatura max opt;Dias entre riego zona seca;Dias entre riego zona húmeda;distancia_mes_inicio_siem;distancia_mes_fin_siem
0;ACELGA;Andalucia;2018;1;0.7502380951666666;46516.0;10.26;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-8.0;-10.0
1;ACELGA;Andalucia;2018;1;0.7502380951666666;46516.0;10.26;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-2.0;-4.0
2;ACELGA;Andalucia;2018;2;0.734375;37237.0;9.68;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-7.0;-9.0
3;ACELGA;Andalucia;2018;2;0.734375;37237.0;9.68;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-1.0;-3.0
4;ACELGA;Andalucia;2018;3;0.6720588235000001;78318.0;11.9;2.0;3;3;6.0;33.0;15.0;25.0;4;10;-6.0;-8.0
5;ACELGA;Andalucia;2018;3;0.6720588235000001;78318.0;11.9;2.0;3;3;6.0;33.0;15.0;25.0;4;10;0.0;-2.0
6;ACELGA;Andalucia;2018;4;0.6661764706666666;64277.0;14.84;1.0;3;3;6.0;33.0;15.0;25.0;4;10;-5.0;-7.0
7;ACELGA;Andalucia;2018;4;0.6661764706666666;64277.0;14.84;1.0;3;3;6.0;33.0;15.0;25.0;4;10;1.0;-1.0
8;ACELGA;Andalucia;2018;5;0.8696078430000002;94592.0;17.5;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-4.0;-6.0
9;ACELGA;Andalucia;2018;5;0.8696078430000002;94592.0;17.5;0.0;3;3;6.0;33.0;15.0;25.0;4;10;2.0;0.0
10;ACELGA;Andalucia;2018;6;1.0357142856666666;58905.0;21.88;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-3.0;-5.0
11;ACELGA;Andalucia;2018;6;1.0357142856666666;58905.0;21.88;0.0;3;3;6.0;33.0;15.0;25.0;4;10;3.0;1.0
12;ACELGA;Andalucia;2018;7;0.725;16570.0;24.44;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-2.0;-4.0
13;ACELGA;Andalucia;2018;7;0.725;16570.0;24.44;0.0;3;3;6.0;33.0;15.0;25.0;4;10;4.0;2.0
14;ACELGA;Andalucia;2018;8;0.5291666665;35470.0;27.21;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-1.0;-3.0
15;ACELGA;Andalucia;2018;8;0.5291666665;35470.0;27.21;0.0;3;3;6.0;33.0;15.0;25.0;4;10;5.0;3.0
16;ACELGA;Andalucia;2018;9;0.675;18350.0;24.41;0.0;3;3;6.0;33.0;15.0;25.0;4;10;0.0;-2.0
17;ACELGA;Andalucia;2018;9;0.675;18350.0;24.41;0.0;3;3;6.0;33.0;15.0;25.0;4;10;6.0;4.0
18;ACELGA;Andalucia;2018;10;0.6472222223333334;44935.0;18.05;1.0;3;3;6.0;33.0;15.0;25.0;4;10;1.0;-1.0
19;ACELGA;Andalucia;2018;10;0.6472222223333334;44935.0;18.05;1.0;3;3;6.0;33.0;15.0;25.0;4;10;7.0;5.0
20;ACELGA;Andalucia;2018;11;0.75;87490.0;13.19;1.0;3;3;6.0;33.0;15.0;25.0;4;10;2.0;0.0
21;ACELGA;Andalucia;2018;11;0.75;87490.0;13.19;1.0;3;3;6.0;33.0;15.0;25.0;4;10;8.0;6.0
22;ACELGA;Andalucia;2018;12;0.6722222223333333;53414.0;12.25;0.0;3;3;6.0;33.0;15.0;25.0;4;10;3.0;1.0
23;ACELGA;Andalucia;2018;12;0.6722222223333333;53414.0;12.25;0.0;3;3;6.0;33.0;15.0;25.0;4;10;9.0;7.0
24;ACELGA;Andalucia;2019;1;0.8799999999999999;61704.0;10.08;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-8.0;-10.0
25;ACELGA;Andalucia;2019;1;0.8799999999999999;61704.0;10.08;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-2.0;-4.0
26;ACELGA;Andalucia;2019;2;0.6823809524;106154.0;11.86;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-7.0;-9.0
27;ACELGA;Andalucia;2019;2;0.6823809524;106154.0;11.86;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-1.0;-3.0
28;ACELGA;Andalucia;2019;3;0.5876984126666667;117495.0;14.28;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-6.0;-8.0
29;ACELGA;Andalucia;2019;3;0.5876984126666667;117495.0;14.28;0.0;3;3;6.0;33.0;15.0;25.0;4;10;0.0;-2.0
30;ACELGA;Andalucia;2019;4;0.6351190476666667;63330.0;14.6;1.0;3;3;6.0;33.0;15.0;25.0;4;10;-5.0;-7.0
31;ACELGA;Andalucia;2019;4;0.6351190476666667;63330.0;14.6;1.0;3;3;6.0;33.0;15.0;25.0;4;10;1.0;-1.0
32;ACELGA;Andalucia;2019;5;0.54333333325;51584.0;20.4;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-4.0;-6.0
33;ACELGA;Andalucia;2019;5;0.54333333325;51584.0;20.4;0.0;3;3;6.0;33.0;15.0;25.0;4;10;2.0;0.0
34;ACELGA;Andalucia;2019;6;0.45;23606.0;22.22;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-3.0;-5.0
35;ACELGA;Andalucia;2019;6;0.45;23606.0;22.22;0.0;3;3;6.0;33.0;15.0;25.0;4;10;3.0;1.0
36;ACELGA;Andalucia;2019;7;0.45;7500.0;25.62;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-2.0;-4.0
37;ACELGA;Andalucia;2019;7;0.45;7500.0;25.62;0.0;3;3;6.0;33.0;15.0;25.0;4;10;4.0;2.0
38;ACELGA;Andalucia;2019;8;0.4625;8550.0;26.44;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-1.0;-3.0
39;ACELGA;Andalucia;2019;8;0.4625;8550.0;26.44;0.0;3;3;6.0;33.0;15.0;25.0;4;10;5.0;3.0
40;ACELGA;Andalucia;2019;9;0.8;13500.0;23.35;0.0;3;3;6.0;33.0;15.0;25.0;4;10;0.0;-2.0
41;ACELGA;Andalucia;2019;9;0.8;13500.0;23.35;0.0;3;3;6.0;33.0;15.0;25.0;4;10;6.0;4.0
42;ACELGA;Andalucia;2019;10;0.8833333329999999;4400.0;19.21;0.0;3;3;6.0;33.0;15.0;25.0;4;10;1.0;-1.0
43;ACELGA;Andalucia;2019;10;0.8833333329999999;4400.0;19.21;0.0;3;3;6.0;33.0;15.0;25.0;4;10;7.0;5.0
44;ACELGA;Andalucia;2019;11;0.55;9950.0;13.23;1.0;3;3;6.0;33.0;15.0;25.0;4;10;2.0;0.0
45;ACELGA;Andalucia;2019;11;0.55;9950.0;13.23;1.0;3;3;6.0;33.0;15.0;25.0;4;10;8.0;6.0
46;ACELGA;Andalucia;2019;12;0.69;16708.0;12.76;1.0;3;3;6.0;33.0;15.0;25.0;4;10;3.0;1.0
47;ACELGA;Andalucia;2019;12;0.69;16708.0;12.76;1.0;3;3;6.0;33.0;15.0;25.0;4;10;9.0;7.0
48;ACELGA;Andalucia;2020;1;0.7079545455;34282.0;10.4;1.0;3;3;6.0;33.0;15.0;25.0;4;10;-8.0;-10.0
49;ACELGA;Andalucia;2020;1;0.7079545455;34282.0;10.4;1.0;3;3;6.0;33.0;15.0;25.0;4;10;-2.0;-4.0
50;ACELGA;Andalucia;2020;2;0.8;16210.0;13.98;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-7.0;-9.0
51;ACELGA;Andalucia;2020;2;0.8;16210.0;13.98;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-1.0;-3.0
52;ACELGA;Andalucia;2020;3;0.6125;1888.0;14.0;1.0;3;3;6.0;33.0;15.0;25.0;4;10;-6.0;-8.0
53;ACELGA;Andalucia;2020;3;0.6125;1888.0;14.0;1.0;3;3;6.0;33.0;15.0;25.0;4;10;0.0;-2.0
54;ACELGA;Andalucia;2020;4;0.75;4069.0;15.28;1.0;3;3;6.0;33.0;15.0;25.0;4;10;-5.0;-7.0
55;ACELGA;Andalucia;2020;4;0.75;4069.0;15.28;1.0;3;3;6.0;33.0;15.0;25.0;4;10;1.0;-1.0
56;ACELGA;Andalucia;2020;5;0.8125;3102.0;20.36;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-4.0;-6.0
57;ACELGA;Andalucia;2020;5;0.8125;3102.0;20.36;0.0;3;3;6.0;33.0;15.0;25.0;4;10;2.0;0.0
58;ACELGA;Andalucia;2020;7;0.7333333333333334;15140.0;27.71;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-2.0;-4.0
59;ACELGA;Andalucia;2020;7;0.7333333333333334;15140.0;27.71;0.0;3;3;6.0;33.0;15.0;25.0;4;10;4.0;2.0
60;ACELGA;Andalucia;2020;8;0.55;2000.0;26.73;0.0;3;3;6.0;33.0;15.0;25.0;4;10;-1.0;-3.0
61;ACELGA;Andalucia;2020;8;0.55;2000.0;26.73;0.0;3;3;6.0;33.0;15.0;25.0;4;10;5.0;3.0
