PRODUCTOS;AÑO;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiem.;Octubre;Noviem.;Diciem.;Anual
HORTALIZAS;;;;;;;;;;;;;;
LECHUGA (100kg);2019;30,21;25,02;21,73;20,72;20,61;33,52;28,6;28,04;28,1;35,25;45,56;22,57;27,87
;2020;32,88;25,47;25,57;27,41;19,99;21,09;26,2;25,1;24,76;28,1;22,52;19,51;24,73
;2021;29,36;16,95;25,16;28,67;24,97;23,63;;;;;;;
ESCAROLA (100kg);2019;48,09;54,14;41,43;50,66;52,01;-;-;-;-;36,63;48,79;50,27;48,42
;2020;50,73;45,22;43,2;45,15;51,02;-;-;-;-;36,56;43,01;50,32;46,62
;2021;44,32;39,29;40,05;50,98;61,08;-;;;;;;;
COLIFLOR (100kg);2019;51,65;43,58;40,75;46,3;41,62;-;-;-;-;50,83;54,63;55,35;50,31
;2020;59,59;43,09;58,67;96,11;82,44;-;-;-;-;65,01;47,35;44,53;53,74
;2021;61,65;43,32;67,43;71,34;53,02;-;;;;;;;
COL REPOLLO (100kg);2019;45,92;51,83;48,66;49,54;42,52;28,67;15,73;-;29,85;43,66;41,47;45,88;44,56
;2020;42,74;33,58;31;37,08;37,29;27,15;23;-;20,07;32,19;38,99;34,75;34,81
;2021;36,01;34,82;34,23;40,12;37,71;23,39;;;;;;;
TOMATE (100kg);2019;79,74;58,76;69,54;66,53;42,81;55,05;18,31;11,89;16,38;52,54;68,89;61,41;31,57
;2020;60,56;57,65;73;76,64;44,53;51,98;14,9;11,59;17,8;71;65,66;59,44;31,79
;2021;81,01;45,4;82,13;106,17;52,07;46,8;;;;;;;
ZANAHORIA (100kg);2019;20,79;33,94;43;55,32;55,31;62,44;24,53;21,04;19,2;17,89;17,88;18,4;36,07
;2020;17,95;27,68;28,66;35,93;39,26;33,44;25,92;25,21;23,89;20,13;18,81;17,7;27,52
;2021;19,54;24,89;30,02;30,51;25,82;25,06;;;;;;;
GUISANTE VERDE (100kg);2019;281,14;198,08;199,22;175,4;31,3;32,82;25,88;-;-;-;-;171,94;41,55
;2020;297,89;256,37;262,05;191,43;33,93;35,13;27,11;-;-;-;-;507,38;46,5
;2021;408,8;284,04;329,69;271,21;33,02;33,89;;;;;;;
CEBOLLA (100kg);2019;53,98;54,62;44,42;47,13;46,6;46,56;30,93;26,5;15,94;12,2;20,95;24,8;26,92
;2020;33,08;35,14;21,73;69,82;30,74;23,83;12,73;14,52;12,13;17,76;23,68;26,42;21,33
;2021;31,58;34,12;28,24;54,94;27,84;16,99;;;;;;;
PEPINO (100kg);2019;57,41;62,7;44,19;27,59;19,34;15,67;54,8;47,2;37,36;39,53;50,49;59,55;46,86
;2020;78,53;61,72;45,21;19,33;18,01;19,87;37,55;48,51;96,86;49,15;39,52;66,34;53,99
;2021;70,73;72,44;89,26;37,96;15,7;32,08;;;;;;;
PUERRO (100kg);2019;63,18;82,24;83,77;70,88;75,41;71,54;63,16;60,32;53,62;50,65;54,38;62,41;60,5
;2020;65,84;76,1;72,95;57,41;56,52;51,85;47,03;53,03;53,67;56,16;57,68;59,56;57,62
;2021;69,66;100,93;105,03;96,23;90,63;55,63;;;;;;;
PIMIENTO (100kg);2019;72,07;82,76;88,98;72,74;91,89;98,6;100,41;90,13;105,29;64,74;59,78;83,32;82,77
;2020;105,37;106,41;116,53;140,43;121,37;80,14;67,07;60,78;94,06;95,53;84,27;75,05;83,65
;2021;75,3;68,82;147,44;208,43;69,89;65,48;;;;;;;
ALCACHOFA (100kg);2019;87,61;66,9;47,58;52,48;45,42;60,19;-;-;-;167,61;109,14;109,01;67,46
;2020;85,66;64,44;54,75;49,64;53,03;70,07;-;-;-;145,92;121,4;101,58;68,7
;2021;98,72;67,17;75;54,67;45,47;57,5;;;;;;;
ESPARRAGO (100kg);2019;373,33;373,33;288,01;246,78;196,7;235,18;-;-;250;-;-;-;234,46
;2020;281,22;272,63;233,01;163,22;142,56;135,75;-;-;262,5;-;-;-;164,47
;2021;281,94;304,05;285,61;250,15;217,04;179,95;;;;;;;
MELON (100kg);2019;-;-;-;50,04;25,84;41,38;25,07;22,91;33,93;30,73;-;-;28,37
;2020;-;-;-;53,1;48,26;33,87;28,42;31,66;35,23;39,12;-;-;33,69
;2021;-;-;-;63,29;31,89;30,87;;;;;;;
SANDIA (100kg);2019;-;-;-;38,23;25;30,18;18,52;18,97;22,82;18,65;-;-;25,51
;2020;-;-;-;47,5;69,06;17,74;15,12;20,19;30,75;14,4;-;-;35,26
;2021;-;-;-;61,75;38,34;19,99;;;;;;;
CALABACIN (100kg);2019;109,31;50,18;35,39;42,9;31,28;41,7;37,82;46,82;23,56;38,27;60,84;60,98;47,86
;2020;136,38;39,12;72,29;70,91;31,63;34,48;37,76;42,73;99,96;140,22;46,58;38,35;68,04
;2021;162,02;67,49;46,44;20,36;23,43;39,83;;;;;;;
AJO SECO (100kg);2019;-;-;-;-;171,48;164,94;136,65;134,58;138,5;162,37;159,09;159,09;149,13
;2020;-;-;-;-;164,12;152,98;133,58;126,43;136,88;147,49;128,52;132,06;140,38
;2021;-;-;-;-;159,45;115,07;;;;;;;
HABA VERDE (100kg);2019;137,66;99,86;70,49;76,27;78,02;57,2;-;-;-;-;-;112,31;89,83
;2020;140,49;107,38;81,22;77,89;58,35;67,67;-;-;-;-;-;143,44;94,99
;2021;158,96;85;99,85;85,71;59,39;62,57;;;;;;;
JUDIA VERDE (100kg);2019;290,72;452,3;328,86;219,7;190,62;212,56;204,15;150,14;97,74;157,2;202,59;216,46;190,83
;2020;228,8;298,36;240,77;171,57;180,48;187,28;143,84;120,56;92,78;221,3;177,88;195,7;160,01
;2021;247,93;213,78;173,54;153,42;149,24;178,98;;;;;;;
ESPINACA (100kg);2019;96,22;88,76;74,13;71,34;86;117,95;105,38;78,66;42,9;109,09;113,59;102,06;89,16
;2020;103,68;85,64;69,7;71,06;93,27;88,45;156,8;93,47;90,39;93;78,94;99,26;86,5
